Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
1,02-01-2020 0.00,01-01-2020 0.00,01-01-2020 1.11,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,13,No,
2,01-01-2020 19.00,01-01-2020 1.00,01-01-2020 6.26,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,No,
3,02-01-2020 5.00,01-01-2020 2.00,01-01-2020 14.30,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No,
4,01-01-2020 5.00,01-01-2020 3.00,01-01-2020 14.46,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,29-04-2020 5.00
5,01-01-2020 21.00,01-01-2020 4.00,01-01-2020 16.51,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,08-01-2020 21.00
6,02-01-2020 3.00,01-01-2020 5.00,01-01-2020 17.09,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes,30-03-2020 3.00
7,01-01-2020 16.00,01-01-2020 6.00,01-01-2020 14.08,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,24-03-2020 16.00
8,02-01-2020 10.00,01-01-2020 7.00,02-01-2020 6.33,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,8,No,
9,04-01-2020 3.00,01-01-2020 8.00,02-01-2020 6.34,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,1,No,
10,03-01-2020 7.00,01-01-2020 9.00,01-01-2020 17.50,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No,
11,02-01-2020 13.00,01-01-2020 10.00,01-01-2020 19.42,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes,01-02-2020 13.00
12,03-01-2020 9.00,01-01-2020 11.00,01-01-2020 22.16,Surat,563,IDENTITY THEFT,26,M,Poison,Violent Crime,3,No,
13,01-01-2020 16.00,01-01-2020 12.00,01-01-2020 23.14,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,29-02-2020 16.00
14,02-01-2020 22.00,01-01-2020 13.00,01-01-2020 17.46,Mumbai,436,ASSAULT,32,X,None,Violent Crime,18,No,
15,02-01-2020 0.00,01-01-2020 14.00,01-01-2020 22.28,Bangalore,266,SEXUAL ASSAULT,77,F,None,Violent Crime,19,No,
16,02-01-2020 7.00,01-01-2020 15.00,01-01-2020 18.54,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,30-03-2020 7.00
17,03-01-2020 7.00,01-01-2020 16.00,02-01-2020 2.57,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,Other Crime,6,No,
18,04-01-2020 2.00,01-01-2020 17.00,01-01-2020 23.09,Pune,342,ARSON,64,F,Other,Fire Accident,2,No,
19,02-01-2020 20.00,01-01-2020 18.00,02-01-2020 10.42,Bangalore,480,CYBERCRIME,11,M,None,Other Crime,3,Yes,24-01-2020 20.00
